brand,store,fb_link,g_link
michael hill,Charlestown,https://www.facebook.com/MichaelHillCharlestown/,"https://www.google.com.au/search?source=hp&ei=anHLXdK-CJbSz7sP5fOT-A8&q=michael+hill+Charlestown&oq=michael+hill+Charlestown&gs_l=psy-ab.3...92.243..263...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjSm8famOblAhUW6XMBHeX5BP8Q4dUDCAY&uact=5#lrd=0x6b733df2986cc727:0xb45bf68ea6683af8,1,,,"
michael hill,Coffs Harbour,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jeweller-1016218881781522/,"https://www.google.com.au/search?source=hp&ei=bXHLXZK4Bt_az7sP3ZOVoAs&q=michael+hill+Coffs+Harbour&oq=michael+hill+Coffs+Harbour&gs_l=psy-ab.3...82.282..293...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjSovzbmOblAhVf7XMBHd1JBbQQ4dUDCAY&uact=5#lrd=0x6b9c0c35ec5ee809:0xec2cb64f60b4e93a,1,,,"
michael hill,Dubbo,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jewellery-313625238693385/,"https://www.google.com.au/search?source=hp&ei=b3HLXcqiMc3hz7sPj6iE2A4&q=michael+hill+Dubbo&oq=michael+hill+Dubbo&gs_l=psy-ab.3...135.203..214...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiKlqHdmOblAhXN8HMBHQ8UAesQ4dUDCAY&uact=5#lrd=0x6b0f71b29f3d50c1:0x159ab048c35d5789,1,,,"
michael hill,Tamworth,https://www.facebook.com/MichaelHillTamworth/,"https://www.google.com.au/search?source=hp&ei=cnHLXbiJIPOLmgfIi6CgDw&q=michael+hill+Tamworth&oq=michael+hill+Tamworth&gs_l=psy-ab.3...110.252..291...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwi4isfemOblAhXzheYKHcgFCPQQ4dUDCAY&uact=5#lrd=0x6b0a98cf1a3f0f8b:0x16da4ca2111523b6,1,,,"
michael hill,Maitland,https://www.facebook.com/Michael-Hill-Jewellers-116382331785631/?ref=nearby_places,"https://www.google.com.au/search?source=hp&ei=dXHLXZ3dEpbWz7sP4ZCS4As&q=michael+hill+Maitland&oq=michael+hill+Maitland&gs_l=psy-ab.3...84.165..174...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjd6_DfmOblAhUW63MBHWGIBLwQ4dUDCAY&uact=5#lrd=0x6b7346badf7ddc4b:0x923593d52123eee5,1,,,"
michael hill,Lismore,https://www.facebook.com/Michael-Hill-Jewellers-167054570011775/,"https://www.google.com.au/search?source=hp&ei=eHHLXfKGD57az7sPvZGYCA&q=michael+hill+Lismore&oq=michael+hill+Lismore&gs_l=psy-ab.3...63.139..151...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjyoqThmOblAhUe7XMBHb0IBgEQ4dUDCAY&uact=5#lrd=0x6b909e0491f537cd:0xb532d4ae0fdb0b7f,1,,,"
michael hill,Raymond Terrace,https://www.facebook.com/MichaelHillRaymondTerrace/,"https://www.google.com.au/search?source=hp&ei=e3HLXby2Bte_3LUPhtSH6Ao&q=michael+hill+Raymond+Terrace&oq=michael+hill+Raymond+Terrace&gs_l=psy-ab.3...100.294..308...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwj839LimOblAhXXH7cAHQbqAa0Q4dUDCAY&uact=5#lrd=0x6b7369a10e91d0f9:0xaf202198aa44ed18,1,,,"
michael hill,Glendale,https://www.facebook.com/mhjglendale/,"https://www.google.com.au/search?source=hp&ei=fXHLXYqlMcnD3LUP94q7yAY&q=michael+hill+Glendale&oq=michael+hill+Glendale&gs_l=psy-ab.3...96.181..190...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjK1_fjmOblAhXJIbcAHXfFDmkQ4dUDCAY&uact=5#lrd=0x6b733c25747d0383:0x109aeff84352bc34,1,,,"
michael hill,Kotara,https://www.facebook.com/MichaelHillKotara/,"https://www.google.com.au/search?source=hp&ei=gHHLXaKSLurbz7sPteWK-AI&q=michael+hill+Kotara&oq=michael+hill+Kotara&gs_l=psy-ab.3...99.170..181...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwii0qvlmOblAhXq7XMBHbWyAi8Q4dUDCAY&uact=5#lrd=0x6b7315fcf8c76835:0xe3ebe108fdd83702,1,,,"
michael hill,Forster,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jewellers-1041819729241426/,"https://www.google.com.au/search?source=hp&ei=hHHLXa64A_jSz7sP2KCKqAw&q=michael+hill+Forster&oq=michael+hill+Forster&gs_l=psy-ab.3...113.241..269...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiuivXmmOblAhV46XMBHViQAsUQ4dUDCAY&uact=5#lrd=0x6b743715407fae61:0x2387c02082cb1c63,1,,,"
michael hill,Lake Macquarie Fair,https://www.facebook.com/places/Accessories-in-Mount-Hutton/140181556404340/185127444860544/,"https://www.google.com.au/search?source=hp&ei=h3HLXcnBC4Wfmgem_5LwCw&q=michael+hill+Lake+Macquarie+Fair&oq=michael+hill+Lake+Macquarie+Fair&gs_l=psy-ab.3...85.309..321...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwiJobTomOblAhWFj-YKHaa_BL4Q4dUDCAY&uact=5#lrd=0x6b733d0de38d1e57:0x76ecea6da0029639,1,,,"
michael hill,Lake Haven,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-Jewellers-Lake-Haven-Shopping-Centre-148134975345512/,"https://www.google.com.au/search?source=hp&ei=iXHLXaOROaKcmge5sKLIAg&q=michael+hill+Lake+Haven&oq=michael+hill+Lake+Haven&gs_l=psy-ab.3...75.158..170...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjj-dvpmOblAhUijuYKHTmYCCkQ4dUDCAY&uact=5#lrd=0x6b72d0a26067277f:0xce72ac183fc586b3,1,,,"
michael hill,Singleton,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Michael-Hill-316184565570333/,"https://www.google.com.au/search?source=hp&ei=jHHLXdaHLaPhz7sP7oKDsAI&q=michael+hill+Singleton&oq=michael+hill+Singleton&gs_l=psy-ab.3...91.226..240...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwjW_YbrmOblAhWj8HMBHW7BACYQ4dUDCAY&uact=5#lrd=0x6b0cb0220cc8baef:0xf2e848160578757d,1,,,"
michael hill,Woden,https://www.facebook.com/MichaelHillGuildford/?rf=1733171110307160,"https://www.google.com.au/search?source=hp&ei=j3HLXfHqItHhz7sPouGuqAY&q=michael+hill+Woden&oq=michael+hill+Woden&gs_l=psy-ab.3...111.227..254...0.0..0.0.0.......0....1..gws-wiz.&ved=0ahUKEwix7rPsmOblAhXR8HMBHaKwC2UQ4dUDCAY&uact=5#lrd=0x6b17b4bca5fc43fd:0x878352d91ae854a3,1,,,"
